method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
kmeans,City-A,2024-07,2,800,800.0,8,0.3258518878575468,0.36717574050735746,0.9642994461346406,0.3375,3.0298506017105535
kmeans,City-A,2024-08,2,800,800.0,8,0.2596773280580618,0.36521092763490826,1.0398850105687196,0.43875,3.938805782223719
kmeans,City-A,2024-09,2,800,800.0,8,0.2930753073598471,0.4026164868058846,0.9319948740611488,0.345,3.0971806150818986
kmeans,City-A,2024-10,2,800,800.0,8,0.26247230825708917,0.332429099854912,1.007412747412653,0.42875,3.8490324310619246
kmeans,City-A,2024-11,2,800,800.0,8,0.28813167942678275,0.3817000608404072,0.913743879541938,0.1475,1.324156929636464
kmeans,City-A,2024-12,2,800,800.0,8,0.2448335048108289,0.3574063047310293,1.0556963545861662,0.39375,3.5348257019956453
kmeans,City-B,2024-01,2,500,,8,0.9546288727589437,0.6371315144822148,0.5217114191448258,,
kmeans,City-B,2024-02,2,500,500.0,8,0.7532412011385915,0.5089427273892878,0.9192173739373958,0.286,2.567517843227313
kmeans,City-B,2024-03,2,500,500.0,8,0.9415170538821226,0.6223462634270829,0.46305267426572205,0.286,2.567517843227313
kmeans,City-B,2024-04,2,500,500.0,8,0.9291445419398489,0.6265157806619297,0.4786382864723384,0.006,0.0538640106970765
kmeans,City-B,2024-05,2,500,500.0,8,0.7527591210294774,0.5039577934289855,0.7383225787825485,0.164,1.4722829590534243
kmeans,City-B,2024-06,2,500,500.0,8,0.759678028997203,0.47949745965773016,0.7872233927369572,0.144,1.292736256729836
kmeans,City-B,2024-07,2,500,500.0,8,0.8555020060510251,0.5524416770073134,0.6622214849462378,0.202,1.813421693468242
kmeans,City-B,2024-08,2,500,500.0,8,0.5755726918519685,0.5463256307115644,0.7548348634415041,0.31,2.7829738860156192
kmeans,City-B,2024-09,2,500,500.0,8,0.8204362657103889,0.6044631268669449,0.5036635545355015,0.264,2.370016470671366
kmeans,City-B,2024-10,2,500,500.0,8,0.7750703009098961,0.5578024028340914,0.6782271996830499,0.156,1.400464278123989
kmeans,City-B,2024-11,2,500,500.0,8,0.6996850501583636,0.5575007141216176,0.6416760645419843,0.254,2.280243119509572
kmeans,City-B,2024-12,2,500,500.0,8,0.7091836900653915,0.5138535281573743,0.6947447450436268,0.062,0.5565947772031239
kmeans,City-C,2024-01,2,650,,8,0.6701290066555129,0.44309013257794566,0.8645681857128662,,
kmeans,City-C,2024-02,2,650,650.0,8,0.6867970303860933,0.48045273805448574,0.8451947691687788,0.2353846153846154,2.113126573500693
kmeans,City-C,2024-03,2,650,650.0,8,0.6742127872275415,0.4945775407882402,0.7050950024053473,0.013846153846153847,0.12430156314709961
kmeans,City-C,2024-04,2,650,650.0,8,0.6247211426816983,0.4911198287532552,0.7464656768005246,0.021538461538461538,0.1933579871177105
kmeans,City-C,2024-05,2,650,650.0,8,0.5547212530846457,0.41077656816949754,0.8594812122951754,0.39076923076923076,3.508066337707033
kmeans,City-C,2024-06,2,650,650.0,8,0.5699124360792572,0.4814907199261927,0.8865482329423082,0.3984615384615385,3.577122761677644
kmeans,City-C,2024-07,2,650,650.0,8,0.47043799235332934,0.4098086620103777,0.8955608383131091,0.3630769230769231,3.259463211412834
kmeans,City-C,2024-08,2,650,650.0,8,0.43505906500687463,0.3990345902353301,0.9012375908322672,0.015384615384615385,0.13811284794122178
kmeans,City-C,2024-09,2,650,650.0,8,0.4615495238019181,0.43154864162281853,0.8395177290551447,0.4,3.5909340464717667
kmeans,City-C,2024-10,2,650,650.0,8,0.45710602649389026,0.4501544538001152,0.8943153397299854,0.10615384615384615,0.9529786507944303
